# Lyresong Tabulature Format
# Title: Odyssey Book 23 - Lyresong A4-G4-E4-A4 for scale E4,F4,G4,A4,B4,C5,D5
# Subtitle: Odyssey Book 23 - 372/372 lines passed prosody validation
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Notes | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
#

  1  | B4= A4= F4= E4 G4 B4-A4 C5 D5 D5= C5 D5 C5= D5 D5 C5= A4=    | γρηῢς δ’εἰς ὑπερῷ’ ἀνεβήσετο καγχαλόωσα,                                         | 0.724
  2  | G4= B4= G4= A4 D5 B4= G4 F4 F4= C5 C5 C5= G4 C5 D5= C5=      | δεσποίνῃ ἐρέουσα φίλον πόσιν ἔνδον ἐόντα·                                        | 0.772
  3  | G4= E4 E4 E4= E4= E4= E4 G4 F4= A4 B4 E4= B4= A4= F4=        | γούνατα δ’ἐρρώσαντο, πόδες δ’ὑπερικταίνοντο.                                     | 0.713
  4  | B4-A4 B4 G4 F4= E4 G4 B4-A4 F4= G4= B4= B4-A4 B4 D5 C5= B4=  | στῆ δ’ἄρ’ ὑπὲρ κεφαλῆς καί μιν πρὸς μῦθον ἔειπεν·                                | 0.704
  5  | D5= D5 D5 G4= G4 D5 G4= F4 E4 E4= A4 A4 C5= F4 C5 G4= B4=    | ἔγρεο, Πηνελόπεια, φίλον τέκος, ὄφρα ἴδηαι                                       | 0.765
  6  | A4= A4= C5-A4 C5 C5 C5-A4 E4 G4 D5= B4 D5 D5= D5 D5 D5= G4=  | ὀφθαλμοῖσι τεοῖσι τά τ’ἔλδεαι ἤματα πάντα.                                       | 0.743
  7  | B4-A4 B4 A4 F4= G4= B4-A4 C5 D5 D5= B4 G4 E4= G4 F4 A4= C5=  | ἦλθ’ Ὀδυσεὺς καὶ οἶκον ἱκάνεται, ὀψέ περ ἐλθών.                                  | 0.733
  8  | G4= A4-F4 G4= D5= D5= D5 C5 D5= D5 B4 C5= B4= A4-F4 C5=      | μνηστῆρας δ’ἔκτεινεν ἀγήνορας, οἵ θ’ἑὸν οἶκον                                    | 0.725
  9  | D5= D5= A4= D5= D5= C5 D5 D5= D5 D5 A4= B4 G4 A4-F4 A4=      | κήδεσκον καὶ κτήματ’ ἔδον βιόωντό τε παῖδα.                                      | 0.766
 10  | B4= B4-A4 F4= G4 D5 B4= C5 A4 D5= B4= D5= B4 D5 B4= D5=      | τὴν δ’αὖτε προσέειπε περίφρων Πηνελόπεια·                                        | 0.697
 11  | B4-A4 B4 D5 C5= D5= C5= A4 F4 G4= D5 C5 A4= B4 D5 B4= D5=    | μαῖα φίλη, μάργην σε θεοὶ θέσαν, οἵ τε δύνανται                                  | 0.724
 12  | D5= B4 G4 E4= B4-A4 F4= G4 B4 D5= C5 D5 C5= A4 B4 D5= C5=    | ἄφρονα ποιῆσαι καὶ ἐπίφρονά περ μάλ’ ἐόντα,                                      | 0.718
 13  | F4= F4 F4 A4= F4 A4 A4= A4 B4 F4= A4 B4 B4= E4 A4 A4= G4=    | καί τε χαλιφρονέοντα σαοφροσύνης ἐπέβησαν·                                       | 0.752
 14  | E4= G4 G4 D5= C5= A4= G4= C5= D5 D5 B4= D5 B4 C5-A4 A4=      | οἵ σέ περ ἔβλαψαν· πρὶν δὲ φρένας αἰσίμη ἦσθα.                                   | 0.706
 15  | C5= G4 A4 A4= D5= B4= A4 F4 F4= A4 F4 A4= C5 A4 A4= G4=      | τίπτε με λωβεύεις πολυπενθέα θυμὸν ἔχουσαν                                       | 0.733
 16  | C5-A4 A4 C5 D5= D5 D5 G4= F4 A4 B4= D5= B4= B4 G4 D5= B4=    | ταῦτα παρὲξ ἐρέουσα καὶ ἐξ ὕπνου μ’ἀνεγείρεις                                    | 0.744
 17  | F4= C5 G4 E4= D5 D5 E4= A4 C5 B4= G4 G4 G4= B4 D5 D5= B4=    | ἡδέος, ὅς μ’ἐπέδησε φίλα βλέφαρ’ ἀμφικαλύψας;                                    | 0.764
 18  | D5= B4= A4= A4= D5= D5 B4 D5= D5 D5 G4= A4-F4 C5 D5= B4=     | οὐ γάρ πω τοιόνδε κατέδραθον, ἐξ οὗ Ὀδυσσεὺς                                     | 0.735
 19  | D5= B4 B4 C5= D5 F4 F4= E4 G4 D5= D5 D5 C5= A4 E4 A4= C5=    | ᾤχετ’ ἐποψόμενος Κακοΐλιον οὐκ ὀνομαστήν.                                        | 0.769
 20  | C5= D5 B4 B4-G4 B4 D5 D5= D5 G4 D5= D5= D5= D5 B4 D5= F4=    | ἀλλ’ ἄγε νῦν κατάβηθι καὶ ἂψ ἔρχευ μέγαρόνδε.                                    | 0.692
 21  | B4= D5= C5= D5= C5= A4 B4 D5= B4-A4 F4= G4 D5 B4= D5=        | εἰ γάρ τίς μ’ἄλλη γε γυναικῶν, αἵ μοι ἔασι,                                      | 0.727
 22  | A4-F4 A4= B4-G4 D5= C5= C5 B4 C5= D5= D5= B4 D5 B4= D5=      | ταῦτ’ ἐλθοῦσ’ ἤγγειλε καὶ ἐξ ὕπνου ἀνέγειρε,                                     | 0.716
 23  | C5-A4 C5 D5 A4= C5 A4 C5-A4 F4 G4 E4= G4 D5 B4= D5 D5 C5= C5= | τῶ κε τάχα στυγερῶς μιν ἐγὼν ἀπέπεμψα νέεσθαι                                    | 0.751
 24  | D5-B4 D5 D5 B4= D5 C5 A4= A4 C5 C5-A4 C5 E4 A4-F4 G4 D5 D5= C5= | αὖτις ἔσω μέγαρον· σὲ δὲ τοῦτό γε γῆρας ὀνήσει.                                  | 0.719
 25  | B4= B4-A4 C5= D5 D5 B4= D5 D5 B4= G4 B4 D5= D5= B4= G4=      | τὴν δ’αὖτε προσέειπε φίλη τροφὸς Εὐρύκλεια·                                      | 0.734
 26  | A4= E4 G4 B4= D5= D5= D5= D5= D5 G4 B4= D5 D5 D5= C5=        | οὔ τί σε λωβεύω, τέκνον φίλον, ἀλλ’ ἔτυμόν τοι                                   | 0.736
 27  | B4-A4 C5 D5 B4= D5= B4-A4 C5 D5 D5= B4 D5 G4= E4 F4 D5= B4=  | ἦλθ’ Ὀδυσεὺς καὶ οἶκον ἱκάνεται, ὡς ἀγορεύω,                                     | 0.722
 28  | A4= B4-G4 B4= A4= D5= D5 D5 D5= D5= D5= D5 D5 D5= G4=        | ὁ ξεῖνος, τὸν πάντες ἀτίμων ἐν μεγάροισι.                                        | 0.730
 29  | B4= D5 D5 A4= A4 F4 A4= A4 A4 D5= A4 G4 A4= A4 A4 B4= B4=    | Τηλέμαχος δ’ἄρα μιν πάλαι ᾔδεεν ἔνδον ἐόντα,                                     | 0.784
