# Lyresong Tabulature Format
# Title: Iliad Book 11 for scale E4,F4,G4,A4,B4,C5,D5
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Melody | Harmony | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
# Harmony is written as a parallel voice below the melody
#

  1  | G4= C5= B4= D5 D5 D5= A4 D5 D5= D5-B4 A4= C5= A4-F4 A4= | G4+B4+D5= C5+E4+G4= B4+D5+F4= D5+F4+A4 D5+F4+A4 D5+F4+A4= A4+C5+E4 D5+F4+A4 D5+F4+A4= D5+F4-B4+F4 A4+C5+E4= C5+E4+G4= A4+C5-F4+C5 A4+C5+E4= | ἠὼς δ’ἐκ λεχέων παρ’ ἀγαυοῦ Τιθωνοῖο                         | 0.741
  2  | G4= E4 C5 B4= C5 C5 B4= A4 B4 E4= G4 E4 F4= A4 C5 D5-C5 F4= | G4+B4+D5= E4+G4+B4 C5+E4+G4 B4+D5+F4= C5+E4+G4 C5+E4+G4 B4+D5+F4= A4+C5+E4 B4+D5+F4 E4+G4+B4= G4+B4+D5 E4+G4+B4 F4+A4+C5= A4+C5+E4 C5+E4+G4 D5+F4-C5+G4 F4+A4+C5= | ὄρνυθ’, ἵν’ ἀθανάτοισι φόως φέροι ἠδὲ βροτοῖσι·              | 0.750
  3  | B4= D5 D5 C5= D5 D5 G4= D5 F4 G4= G4 E4 B4-G4 A4 A4 F4= C5-A4 | B4+D5+F4= D5+F4+A4 D5+F4+A4 C5+E4+G4= D5+F4+A4 D5+F4+A4 G4+B4+D5= D5+F4+A4 F4+A4+C5 G4+B4+D5= G4+B4+D5 E4+G4+B4 B4+D5-G4+D5 A4+C5+E4 A4+C5+E4 F4+A4+C5= C5+E4-A4+E4 | Ζεὺς δ’Ἔριδα προΐαλλε θοὰς ἐπὶ νῆας Ἀχαιῶν                   | 0.740
  4  | G4= F4 G4 E4= F4 B4 G4= F4 A4 G4= A4 A4 A4= D5 D5 A4= F4= | G4+B4+D5= F4+A4+C5 G4+B4+D5 E4+G4+B4= F4+A4+C5 B4+D5+F4 G4+B4+D5= F4+A4+C5 A4+C5+E4 G4+B4+D5= A4+C5+E4 A4+C5+E4 A4+C5+E4= D5+F4+A4 D5+F4+A4 A4+C5+E4= F4+A4+C5= | ἀργαλέην, πολέμοιο τέρας μετὰ χερσὶν ἔχουσαν.                | 0.755
  5  | B4-A4 C5 D5 B4= B4-A4 F4= E4 G4 D5= B4 G4 A4= B4 D5 D5= B4= | B4+D5-A4+E4 C5+E4+G4 D5+F4+A4 B4+D5+F4= B4+D5-A4+E4 F4+A4+C5= E4+G4+B4 G4+B4+D5 D5+F4+A4= B4+D5+F4 G4+B4+D5 A4+C5+E4= B4+D5+F4 D5+F4+A4 D5+F4+A4= B4+D5+F4= | στῆ δ’ἐπ’ Ὀδυσσῆος μεγακήτεϊ νηῒ μελαίνῃ,                    | 0.725
  6  | G4= G4= B4= D5 B4 D5= B4 E4 B4= D5 C5 C5= C5 D5 G4= G4= | G4+B4+D5= G4+B4+D5= B4+D5+F4= D5+F4+A4 B4+D5+F4 D5+F4+A4= B4+D5+F4 E4+G4+B4 B4+D5+F4= D5+F4+A4 C5+E4+G4 C5+E4+G4= C5+E4+G4 D5+F4+A4 G4+B4+D5= G4+B4+D5= | ἥ ῥ’ἐν μεσσάτῳ ἔσκε γεγωνέμεν ἀμφοτέρωσε,                    | 0.754
  7  | B4= C5 D5 D5= B4= G4= B4 D5 B4= A4 G4 E4= B4 D5 C5= D5= | B4+D5+F4= C5+E4+G4 D5+F4+A4 D5+F4+A4= B4+D5+F4= G4+B4+D5= B4+D5+F4 D5+F4+A4 B4+D5+F4= A4+C5+E4 G4+B4+D5 E4+G4+B4= B4+D5+F4 D5+F4+A4 C5+E4+G4= D5+F4+A4= | ἠμὲν ἐπ’ Αἴαντος κλισίας Τελαμωνιάδαο                        | 0.730
  8  | A4= G4 A4 A4= B4-G4 G4= F4= D5= B4 G4 B4-G4 A4 C5 D5= B4= | A4+C5+E4= G4+B4+D5 A4+C5+E4 A4+C5+E4= B4+D5-G4+D5 G4+B4+D5= F4+A4+C5= D5+F4+A4= B4+D5+F4 G4+B4+D5 B4+D5-G4+D5 A4+C5+E4 C5+E4+G4 D5+F4+A4= B4+D5+F4= | ἠδ’ ἐπ’ Ἀχιλλῆος, τοί ῥ’ἔσχατα νῆας ἐΐσας                    | 0.705
  9  | D5= G4 G4 B4= A4 D5 B4= D5 A4 A4= B4= D5= A4 F4 A4= D5-C5 | D5+F4+A4= G4+B4+D5 G4+B4+D5 B4+D5+F4= A4+C5+E4 D5+F4+A4 B4+D5+F4= D5+F4+A4 A4+C5+E4 A4+C5+E4= B4+D5+F4= D5+F4+A4= A4+C5+E4 F4+A4+C5 A4+C5+E4= D5+F4-C5+G4 | εἴρυσαν ἠνορέῃ πίσυνοι καὶ κάρτεϊ χειρῶν                     | 0.721
 10  | D5= A4= D5-B4 D5= D5= C5 G4 D5= D5 D5 F4= F4= G4= B4= | D5+F4+A4= A4+C5+E4= D5+F4-B4+F4 D5+F4+A4= D5+F4+A4= C5+E4+G4 G4+B4+D5 D5+F4+A4= D5+F4+A4 D5+F4+A4 F4+A4+C5= F4+A4+C5= G4+B4+D5= B4+D5+F4= | ἔνθα στᾶσ’ ἤϋσε θεὰ μέγα τε δεινόν τε                        | 0.720
