# Lyresong Tabulature Format
# Title: Odyssey Book 23 - Lyresong A4-G4-E4-A4 for scale E4,F4,G4,A4,B4,C5,D5
# Subtitle: Odyssey Book 23 - 372/372 lines passed prosody validation
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Notes | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
#

  1  | B4= A4= F4= E4 G4 B4-A4 B4 D5 D5= B4 C5 D5= B4 D5 B4= G4=    | γρηῢς δ’εἰς ὑπερῷ’ ἀνεβήσετο καγχαλόωσα,                                         | 0.731
  2  | A4= D5= D5= B4 D5 D5= F4 D5 G4= D5 D5 D5= D5 D5 D5= G4=      | δεσποίνῃ ἐρέουσα φίλον πόσιν ἔνδον ἐόντα·                                        | 0.753
  3  | D5= C5 D5 C5= D5= B4= D5 D5 B4= G4 E4 A4= D5= B4= D5=        | γούνατα δ’ἐρρώσαντο, πόδες δ’ὑπερικταίνοντο.                                     | 0.712
  4  | G4-F4 E4 F4 A4= A4 A4 A4-G4 A4= A4= B4= B4-A4 B4 D5 C5= B4=  | στῆ δ’ἄρ’ ὑπὲρ κεφαλῆς καί μιν πρὸς μῦθον ἔειπεν·                                | 0.724
  5  | D5= B4 C5 D5= D5 D5 G4= G4 B4 A4= G4 F4 G4= E4 D5 G4= D5=    | ἔγρεο, Πηνελόπεια, φίλον τέκος, ὄφρα ἴδηαι                                       | 0.770
  6  | G4= E4= C5-A4 C5 A4 A4-F4 F4 A4 D5= D5 B4 D5= D5 G4 D5= B4=  | ὀφθαλμοῖσι τεοῖσι τά τ’ἔλδεαι ἤματα πάντα.                                       | 0.728
  7  | B4-A4 F4 G4 G4= B4= D5-C5 B4 B4 D5= A4 F4 A4= A4 F4 A4= B4=  | ἦλθ’ Ὀδυσεὺς καὶ οἶκον ἱκάνεται, ὀψέ περ ἐλθών.                                  | 0.714
  8  | B4= B4-A4 C5= D5= B4= A4 B4 D5= B4 G4 E4= B4= B4-A4 C5=      | μνηστῆρας δ’ἔκτεινεν ἀγήνορας, οἵ θ’ἑὸν οἶκον                                    | 0.737
  9  | D5= C5= C5= D5= D5= B4 D5 D5= D5 D5 F4= G4 A4 C5-A4 A4=      | κήδεσκον καὶ κτήματ’ ἔδον βιόωντό τε παῖδα.                                      | 0.752
 10  | C5= C5-A4 B4= A4 D5 D5= B4 D5 D5= G4= B4= B4 D5 A4= F4=      | τὴν δ’αὖτε προσέειπε περίφρων Πηνελόπεια·                                        | 0.703
