# Lyresong Tabulature Format
# Title: Odyssey Book 9 - Lyresong A4-G4-E4-A4 for scale E4,F4,G4,A4,B4,C5,D5
# Subtitle: Odyssey Book 9 - 566/566 lines passed prosody validation
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Notes | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
#

  1  | G4= B4 B4 F4= C5 A4 C5= G4 B4 G4= E4 G4 E4= G4 G4 F4= A4=    | τὸν δ’ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς·                                  | 0.787
  2  | E4= G4 F4 F4= C5-B4 B4= C5= C5= C5 C5 C5= C5 G4 D5= D5-C5    | Ἀλκίνοε κρεῖον, πάντων ἀριδείκετε λαῶν,                                          | 0.719
  3  | D5= B4= B4= D5 B4 B4= B4 C5 C5= D5 A4 A4= B4 E4 A4= A4-F4    | ἤτοι μὲν τόδε καλὸν ἀκουέμεν ἐστὶν ἀοιδοῦ                                        | 0.753
  4  | A4= D5-B4 A4-F4 A4 C5 D5= D5 D5 A4-F4 F4 C5 D5= D5 G4 E4= B4= | τοιοῦδ’ οἷος ὅδ’ ἐστί, θεοῖς ἐναλίγκιος αὐδήν.                                   | 0.715
  5  | A4= B4 D5 A4= C5 C5 G4= A4 C5 B4= D5 B4 D5= A4 C5 G4-F4 E4=  | οὐ γὰρ ἔγωγέ τί φημι τέλος χαριέστερον εἶναι                                     | 0.758
  6  | E4= F4 G4 A4= A4 D5 C5= D5 D5 B4= D5 C5 C5-B4 B4 D5 B4= G4=  | ἢ ὅτ’ ἐϋφροσύνη μὲν ἔχῃ κάτα δῆμον ἅπαντα,                                       | 0.753
  7  | B4= D5 D5 B4= C5 A4 D5= B4 B4 B4= D5= B4= G4 E4 B4= C5-A4    | δαιτυμόνες δ’ἀνὰ δώματ’ ἀκουάζωνται ἀοιδοῦ                                       | 0.720
  8  | D5= B4 D5 B4= D5= C5= A4 F4 A4= D5= C5= D5 D5 B4= G4=        | ἥμενοι ἑξείης, παρὰ δὲ πλήθωσι τράπεζαι                                          | 0.682
  9  | D5= C5= A4= B4= B4-G4 D5 D5 C5= F4= B4-G4 A4 B4 D5= D5=      | σίτου καὶ κρειῶν, μέθυ δ’ἐκ κρητῆρος ἀφύσσων                                     | 0.711
 10  | C5= D5 D5 B4= G4 D5 B4= G4 A4 B4= D5= C5= D5 D5 B4= G4=      | οἰνοχόος φορέῃσι καὶ ἐγχείῃ δεπάεσσι·                                            | 0.725
 11  | G4-F4 A4 E4 D5= B4= G4= A4 C5 F4= A4 C5 C5= C5 A4 B4-A4 A4=  | τοῦτό τί μοι κάλλιστον ἐνὶ φρεσὶν εἴδεται εἶναι.                                 | 0.721
 12  | G4= B4 D5 B4= B4 B4 D5= B4 A4 C5= C5 F4 C5= E4 B4 G4= E4=    | σοὶ δ’ἐμὰ κήδεα θυμὸς ἐπετράπετο στονόεντα                                       | 0.782
 13  | D5= A4= B4= D5 A4 A4-F4 A4 F4 D5= D5 D5 D5= D5 C5 D5= D5=    | εἴρεσθ’, ὄφρ’ ἔτι μᾶλλον ὀδυρόμενος στεναχίζω·                                   | 0.727
 14  | G4= A4-F4 B4= B4 D5 B4= B4 E4 G4= D5 D5 C5= A4 D5 D5= D5=    | τί πρῶτόν τοι ἔπειτα, τί δ’ὑστάτιον καταλέξω;                                    | 0.757
 15  | D5= C5 A4 C5= D5= B4= C5 D5 B4= G4 A4 B4= D5 D5 B4= G4=      | κήδε’ ἐπεί μοι πολλὰ δόσαν θεοὶ Οὐρανίωνες.                                      | 0.726
 16  | G4-F4 A4 A4 A4= A4-G4 B4= D5= D5= G4 C5 F4= F4 A4 A4= F4-E4  | νῦν δ’ὄνομα πρῶτον μυθήσομαι, ὄφρα καὶ ὑμεῖς                                     | 0.714
 17  | E4= E4 E4 E4= B4 C5 E4= E4 A4 A4= D5 D5 C5= B4 E4 G4-F4 E4=  | εἴδετ’, ἐγὼ δ’ἂν ἔπειτα φυγὼν ὕπο νηλεὲς ἦμαρ                                    | 0.761
 18  | A4= B4-G4 D5-B4 B4 D5 D5= B4 D5 D5= D5 B4 D5= F4 D5 D5= C5=  | ὑμῖν ξεῖνος ἔω καὶ ἀπόπροθι δώματα ναίων.                                        | 0.748
 19  | C5= D5 D5 D5= B4= D5= C5 D5 G4= C5= A4-F4 A4 D5 C5= C5=      | εἴμ’ Ὀδυσεὺς Λαερτιάδης, ὃς πᾶσι δόλοισιν                                        | 0.693
 20  | D5= D5= C5= C5 D5 G4= B4= B4= D5 G4 A4= A4 G4 D5= F4=        | ἀνθρώποισι μέλω, καί μευ κλέος οὐρανὸν ἵκει.                                     | 0.701
 21  | F4= A4 D5 C5= B4 D5 C5= C5= D5= D5 D5 G4= D5 B4 D5= D5-B4    | ναιετάω δ’Ἰθάκην εὐδείελον· ἐν δ’ὄρος αὐτῇ                                       | 0.721
 22  | D5= G4 C5 A4= C5 D5 B4= G4 A4 F4= G4 A4 F4= E4 B4 A4-G4 A4=  | Νήριτον εἰνοσίφυλλον, ἀριπρεπές· ἀμφὶ δὲ νῆσοι                                   | 0.762
 23  | D5= C5= D5= D5 D5 C5= A4 D5 B4= F4 A4 C5= D5= G4= B4=        | πολλαὶ ναιετάουσι μάλα σχεδὸν ἀλλήλῃσι,                                          | 0.743
 24  | C5= C5 C5 A4= C5 A4 E4= B4 D5 A4= A4= F4= F4 C5 B4= C5=      | Δουλίχιόν τε Σάμη τε καὶ ὑλήεσσα Ζάκυνθος.                                       | 0.713
 25  | G4= D5= C5= D5 C5 D5= D5 C5 D5= D5 C5 F4= E4 G4 B4-G4 A4=    | αὐτὴ δὲ χθαμαλὴ πανυπερτάτη εἰν ἁλὶ κεῖται                                       | 0.763
 26  | A4= D5 B4 G4= G4 D5 A4= G4 A4 C5= A4-F4 C5= D5 B4 D5= D5=    | πρὸς ζόφον, αἱ δέ τ’ἄνευθε πρὸς ἠῶ τ’ἠέλιόν τε,                                  | 0.729
 27  | G4= G4-F4 G4= G4 G4 G4= A4= B4= D5 A4 G4= G4 D5 C5= D5=      | τρηχεῖ’, ἀλλ’ ἀγαθὴ κουροτρόφος· οὔ τι ἔγωγε                                     | 0.703
 28  | D5-B4 D5= D5= D5 A4 A4= C5 D5 D5= C5 G4 D5= B4 D5 D5= D5=    | ἧς γαίης δύναμαι γλυκερώτερον ἄλλο ἰδέσθαι.                                      | 0.769
 29  | A4-G4 F4= G4= A4 D5 C5= A4 A4 G4= A4= A4-G4 A4 B4 D5= B4=    | ἦ μέν μ’αὐτόθ’ ἔρυκε Καλυψώ, δῖα θεάων,                                          | 0.689
 30  | G4= D5= D5= C5 G4 A4-F4 A4 C5 D5= C5 D5 B4= D5 F4 A4-F4 E4=  | ἐν σπέσσι γλαφυροῖσι, λιλαιομένη πόσιν εἶναι·                                    | 0.718
 31  | D5= C5= C5= A4= F4= A4 A4 C5= B4 C5 C5= C5 D5 C5= D5=        | ὣς δ’αὔτως Κίρκη κατερήτυεν ἐν μεγάροισιν                                        | 0.743
