# Lyresong Tabulature Format
# Title: Iliad Book 15 for scale E4,F4,G4,A4,B4,C5,D5
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Melody | Harmony | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
# Harmony is written as a parallel voice below the melody
#

  1  | B4= D5 F4 G4= B4 D5 B4= D5 B4 D5= G4= D5= B4 D5 C5= A4= | B4+D5+F4= D5+F4+A4 F4+A4+C5 G4+B4+D5= B4+D5+F4 D5+F4+A4 B4+D5+F4= D5+F4+A4 B4+D5+F4 D5+F4+A4= G4+B4+D5= D5+F4+A4= B4+D5+F4 D5+F4+A4 C5+E4+G4= A4+C5+E4= | αὐτὰρ ἐπεὶ διά τε σκόλοπας καὶ τάφρον ἔβησαν                 | 0.720
  2  | D5= C5= A4= C5= A4= C5 D5 C5= B4 G4 B4-A4 F4 G4 A4= C5= | D5+F4+A4= C5+E4+G4= A4+C5+E4= C5+E4+G4= A4+C5+E4= C5+E4+G4 D5+F4+A4 C5+E4+G4= B4+D5+F4 G4+B4+D5 B4+D5-A4+E4 F4+A4+C5 G4+B4+D5 A4+C5+E4= C5+E4+G4= | φεύγοντες, πολλοὶ δὲ δάμεν Δαναῶν ὑπὸ χερσίν,                | 0.700
  3  | C5= D5= B4= A4 D5 B4= G4 E4 G4= D5= B4= D5 D5 C5= D5= | C5+E4+G4= D5+F4+A4= B4+D5+F4= A4+C5+E4 D5+F4+A4 B4+D5+F4= G4+B4+D5 E4+G4+B4 G4+B4+D5= D5+F4+A4= B4+D5+F4= D5+F4+A4 D5+F4+A4 C5+E4+G4= D5+F4+A4= | οἳ μὲν δὴ παρ’ ὄχεσφιν ἐρητύοντο μένοντες                    | 0.711
  4  | C5= G4 G4 B4= D5= G4= E4 B4 G4= D5 D5 D5= C5 G4 A4= D5= | C5+E4+G4= G4+B4+D5 G4+B4+D5 B4+D5+F4= D5+F4+A4= G4+B4+D5= E4+G4+B4 B4+D5+F4 G4+B4+D5= D5+F4+A4 D5+F4+A4 D5+F4+A4= C5+E4+G4 G4+B4+D5 A4+C5+E4= D5+F4+A4= | χλωροὶ ὑπαὶ δείους πεφοβημένοι· ἔγρετο δὲ Ζεὺς               | 0.730
  5  | D5= G4= B4= A4 G4 G4-F4 G4 A4 A4= B4= B4= D5 C5 D5= C5= | D5+F4+A4= G4+B4+D5= B4+D5+F4= A4+C5+E4 G4+B4+D5 G4+B4-F4+C5 G4+B4+D5 A4+C5+E4 A4+C5+E4= B4+D5+F4= B4+D5+F4= D5+F4+A4 C5+E4+G4 D5+F4+A4= C5+E4+G4= | Ἴδης ἐν κορυφῇσι παρὰ χρυσοθρόνου Ἥρης,                      | 0.717
  6  | B4-A4 B4 C5 D5= D5= C5= D5 C5 D5= B4-A4 F4= A4 G4 E4= G4= | B4+D5-A4+E4 B4+D5+F4 C5+E4+G4 D5+F4+A4= D5+F4+A4= C5+E4+G4= D5+F4+A4 C5+E4+G4 D5+F4+A4= B4+D5-A4+E4 F4+A4+C5= A4+C5+E4 G4+B4+D5 E4+G4+B4= G4+B4+D5= | στῆ δ’ἄρ’ ἀναΐξας, ἴδε δὲ Τρῶας καὶ Ἀχαιοὺς                  | 0.682
  7  | A4= A4 F4 A4= A4 D5 A4= G4= A4= A4 D5 B4= B4 D5 A4= A4= | A4+C5+E4= A4+C5+E4 F4+A4+C5 A4+C5+E4= A4+C5+E4 D5+F4+A4 A4+C5+E4= G4+B4+D5= A4+C5+E4= A4+C5+E4 D5+F4+A4 B4+D5+F4= B4+D5+F4 D5+F4+A4 A4+C5+E4= A4+C5+E4= | τοὺς μὲν ὀρινομένους, τοὺς δὲ κλονέοντας ὄπισθεν             | 0.721
  8  | C5= D5= B4= G4 F4 E4= G4 B4 G4= D5= B4= D5 D5 C5= D5= | C5+E4+G4= D5+F4+A4= B4+D5+F4= G4+B4+D5 F4+A4+C5 E4+G4+B4= G4+B4+D5 B4+D5+F4 G4+B4+D5= D5+F4+A4= B4+D5+F4= D5+F4+A4 D5+F4+A4 C5+E4+G4= D5+F4+A4= | Ἀργείους, μετὰ δέ σφι Ποσειδάωνα ἄνακτα·                     | 0.708
  9  | D5= C5 A4 C5= D5 D5 B4= D5 C5 D5= B4 G4 F4= E4 G4 B4-A4 G4= | D5+F4+A4= C5+E4+G4 A4+C5+E4 C5+E4+G4= D5+F4+A4 D5+F4+A4 B4+D5+F4= D5+F4+A4 C5+E4+G4 D5+F4+A4= B4+D5+F4 G4+B4+D5 F4+A4+C5= E4+G4+B4 G4+B4+D5 B4+D5-A4+E4 G4+B4+D5= | Ἕκτορα δ’ἐν πεδίῳ ἴδε κείμενον, ἀμφὶ δ’ἑταῖροι               | 0.766
 10  | G4= F4 E4 G4= G4 G4 G4= A4 A4 B4= G4 G4 D5-C5 D5 G4 D5= A4= | G4+B4+D5= F4+A4+C5 E4+G4+B4 G4+B4+D5= G4+B4+D5 G4+B4+D5 G4+B4+D5= A4+C5+E4 A4+C5+E4 B4+D5+F4= G4+B4+D5 G4+B4+D5 D5+F4-C5+G4 D5+F4+A4 G4+B4+D5 D5+F4+A4= A4+C5+E4= | εἵαθ’, ὃ δ’ἀργαλέῳ ἔχετ’ ἄσθματι κῆρ ἀπινύσσων               | 0.767
