# Lyresong Tabulature Format
# Title: Odyssey Book 13 - Lyresong A4-G4-E4-A4 for scale E4,F4,G4,A4,B4,C5,D5
# Subtitle: Odyssey Book 13 - 440/440 lines passed prosody validation
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Notes | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
#

  1  | E4= B4 F4 A4= C5 A4 F4= E4 F4 F4= A4 C5 G4= G4 B4 D5= G4-F4  | ὣς ἔφαθ’, οἱ δ’ἄρα πάντες ἀκὴν ἐγένοντο σιωπῇ,                                   | 0.758
  2  | F4= A4= C5-B4 D5= A4= A4 A4 G4= D5 A4 G4= A4 D5 B4= B4=      | κηληθμῷ δ’ἔσχοντο κατὰ μέγαρα σκιόεντα.                                          | 0.733
  3  | B4= B4-A4 C5= D5 B4 G4= A4 B4 D5= B4 A4 D5= B4= G4= E4=      | τὸν δ’αὖτ’ Ἀλκίνοος ἀπαμείβετο φώνησέν τε·                                       | 0.723
  4  | C5-B4 A4 A4 C5-B4 B4 B4 D5= A4 G4 A4= A4 A4 F4= A4 A4 A4= B4-A4 | ὦ Ὀδυσεῦ, ἐπεὶ ἵκευ ἐμὸν ποτὶ χαλκοβατὲς δῶ,                                     | 0.724
  5  | C5= D5 B4 D5= B4-A4 F4= A4 B4 D5= C5= D5= B4 G4 D5= B4=      | ὑψερεφές, τῶ σ’οὔ τι παλιμπλαγχθέντα γ’ὀΐω                                       | 0.689
  6  | C5= D5 F4 A4= D5= C5= D5= B4= D5 B4 G4= B4 D5 B4= A4=        | ἂψ ἀπονοστήσειν, εἰ καὶ μάλα πολλὰ πέπονθας.                                     | 0.705
  7  | F4= C5= C5= C5 G4 A4= E4 B4 G4= C5 C5 C5= G4 E4 B4= B4=      | ὑμέων δ’ἀνδρὶ ἑκάστῳ ἐφιέμενος τάδε εἴρω,                                        | 0.755
  8  | A4= E4 C5 D5= B4 C5 A4= F4 F4 C5= A4 C5 C5= G4 G4 B4-A4 F4=  | ὅσσοι ἐνὶ μεγάροισι γερούσιον αἴθοπα οἶνον                                       | 0.759
  9  | C5= B4= D5= D5 A4 A4-F4 G4 B4 D5= D5= D5= B4 D5 C5= D5-B4    | αἰεὶ πίνετ’ ἐμοῖσιν, ἀκουάζεσθε δ’ἀοιδοῦ.                                        | 0.728
 10  | D5= B4 E4 A4= D5= D5= D5 D5 C5= D5= G4= F4 G4 A4= C5-A4      | εἵματα μὲν δὴ ξείνῳ ἐϋξέστῃ ἐνὶ χηλῷ                                             | 0.670
 11  | C5-A4 G4= G4= E4= E4= A4 C5 D5= D5 B4 D5= A4 D5 D5= B4=      | κεῖται καὶ χρυσὸς πολυδαίδαλος ἄλλα τε πάντα                                     | 0.747
 12  | A4-G4 F4 E4 G4= A4= A4= F4= A4= B4 G4 F4= A4 C5 E4= E4=      | δῶρ’, ὅσα Φαιήκων βουληφόροι ἐνθάδ’ ἔνεικαν·                                     | 0.687
 13  | G4= D5 B4 C5= A4-F4 E4= D5 A4 D5= D5 D5 G4= B4 D5 B4= D5=    | ἀλλ’ ἄγε οἱ δῶμεν τρίποδα μέγαν ἠδὲ λέβητα                                       | 0.713
 14  | E4= B4 D5 C5= A4-F4 B4-G4 G4 D5 B4= D5 D5 D5= D5 A4 A4-F4 C5= | ἀνδρακάς· ἡμεῖς δ’αὖτε ἀγειρόμενοι κατὰ δῆμον                                    | 0.713
 15  | E4= B4 G4 F4= A4 D5 B4= E4 B4 E4= E4= F4= F4 A4 A4= F4=      | τισόμεθ’· ἀργαλέον γὰρ ἕνα προικὸς χαρίσασθαι.                                   | 0.728
 16  | B4= D5 B4 C5= D5 C5 G4= G4-F4 E4= F4 G4 A4= G4 G4 G4-F4 G4=  | ὣς ἔφατ’ Ἀλκίνοος, τοῖσιν δ’ἐπιὴνδανε μῦθος.                                     | 0.714
 17  | G4= F4= A4= D5= C5= D5 D5 C5= C5-B4 D5= C5 D5 G4= A4=        | οἱ μὲν κακκείοντες ἔβαν οἶκόνδε ἕκαστος,                                         | 0.711
 18  | C5-A4 C5= F4= G4 D5 D5= G4 D5 C5= G4 B4 D5= A4 E4 G4= G4=    | ἦμος δ’ἠριγένεια φάνη ῥοδοδάκτυλος Ἠώς,                                          | 0.751
 19  | C5-A4 D5 D5 D5= D5= D5= B4 D5 D5= B4= D5= A4 E4 F4= B4=      | νῆάδ’ ἐπεσσεύοντο, φέρον δ’εὐήνορα χαλκόν.                                       | 0.676
 20  | F4= E4 E4 B4-G4 C5 D5 G4= F4 F4 C5= D5 D5 D5= D5 D5 D5= B4=  | καὶ τὰ μὲν εὖ κατέθηχ’ ἱερὸν μένος Ἀλκινόοιο,                                    | 0.741
