# Lyresong Tabulature Format
# Title: Odyssey Book 3 for scale E4,F4,G4,A4,B4,C5,D5
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Melody | Harmony | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
# Harmony is written as a parallel voice below the melody
#

  1  | C5= D5 G4 D5= B4 D5 A4= F4 C5 C5= G4 F4 C5= D5 G4 D5= D5= | C5+E4+G4= D5+F4+A4 G4+B4+D5 D5+F4+A4= B4+D5+F4 D5+F4+A4 A4+C5+E4= F4+A4+C5 C5+E4+G4 C5+E4+G4= G4+B4+D5 F4+A4+C5 C5+E4+G4= D5+F4+A4 G4+B4+D5 D5+F4+A4= D5+F4+A4= | Ἠέλιος δ’ἀνόρουσε, λιπὼν περικαλλέα λίμνην,                  | 0.754
  2  | G4= D5 D5 C5= G4 A4 A4= G4 A4 D5= B4 D5 C5= E4 E4 B4= B4= | G4+B4+D5= D5+F4+A4 D5+F4+A4 C5+E4+G4= G4+B4+D5 A4+C5+E4 A4+C5+E4= G4+B4+D5 A4+C5+E4 D5+F4+A4= B4+D5+F4 D5+F4+A4 C5+E4+G4= E4+G4+B4 E4+G4+B4 B4+D5+F4= B4+D5+F4= | οὐρανὸν ἐς πολύχαλκον, ἵν’ ἀθανάτοισι φαείνοι                | 0.757
  3  | B4= G4= G4-F4 E4 A4 A4-G4 G4 G4 A4= D5= C5= D5 D5 C5= D5= | B4+D5+F4= G4+B4+D5= G4+B4-F4+C5 E4+G4+B4 A4+C5+E4 A4+C5-G4+D5 G4+B4+D5 G4+B4+D5 A4+C5+E4= D5+F4+A4= C5+E4+G4= D5+F4+A4 D5+F4+A4 C5+E4+G4= D5+F4+A4= | καὶ θνητοῖσι βροτοῖσιν ἐπὶ ζείδωρον ἄρουραν·                 | 0.710
  4  | C5= D5 D5 B4= D5= B4-A4 B4 D5 B4= D5 B4 C5= D5 D5 B4= G4= | C5+E4+G4= D5+F4+A4 D5+F4+A4 B4+D5+F4= D5+F4+A4= B4+D5-A4+E4 B4+D5+F4 D5+F4+A4 B4+D5+F4= D5+F4+A4 B4+D5+F4 C5+E4+G4= D5+F4+A4 D5+F4+A4 B4+D5+F4= G4+B4+D5= | οἱ δὲ Πύλον, Νηλῆος ἐυκτίμενον πτολίεθρον,                   | 0.722
  5  | C5-B4 C5= C5= C5 D5 B4= A4 F4 F4= F4= G4= A4 A4 C5= C5= | C5+E4-B4+F4 C5+E4+G4= C5+E4+G4= C5+E4+G4 D5+F4+A4 B4+D5+F4= A4+C5+E4 F4+A4+C5 F4+A4+C5= F4+A4+C5= G4+B4+D5= A4+C5+E4 A4+C5+E4 C5+E4+G4= C5+E4+G4= | ἷξον· τοὶ δ’ἐπὶ θινὶ θαλάσσης ἱερὰ ῥέζον,                    | 0.714
  6  | C5= C5= C5= C5 F4 C5= G4 E4 B4= G4 B4 E4= F4 F4 G4= G4= | C5+E4+G4= C5+E4+G4= C5+E4+G4= C5+E4+G4 F4+A4+C5 C5+E4+G4= G4+B4+D5 E4+G4+B4 B4+D5+F4= G4+B4+D5 B4+D5+F4 E4+G4+B4= F4+A4+C5 F4+A4+C5 G4+B4+D5= G4+B4+D5= | ταύρους παμμέλανας, ἐνοσίχθονι κυανοχαίτῃ.                   | 0.751
  7  | C5= D5 A4 D5= D5 D5 D5= C5= D5= D5 C5 C5= G4 B4 D5= B4= | C5+E4+G4= D5+F4+A4 A4+C5+E4 D5+F4+A4= D5+F4+A4 D5+F4+A4 D5+F4+A4= C5+E4+G4= D5+F4+A4= D5+F4+A4 C5+E4+G4 C5+E4+G4= G4+B4+D5 B4+D5+F4 D5+F4+A4= B4+D5+F4= | ἐννέα δ’ἕδραι ἔσαν, πεντακόσιοι δ’ἐν ἑκάστῃ                  | 0.714
  8  | D5= G4 G4 D5= D5= F4= G4 D5 D5= G4 C5 A4= D5 D5 D5= B4= | D5+F4+A4= G4+B4+D5 G4+B4+D5 D5+F4+A4= D5+F4+A4= F4+A4+C5= G4+B4+D5 D5+F4+A4 D5+F4+A4= G4+B4+D5 C5+E4+G4 A4+C5+E4= D5+F4+A4 D5+F4+A4 D5+F4+A4= B4+D5+F4= | ἥατο καὶ προύχοντο ἑκάστοθι ἐννέα ταύρους.                   | 0.724
  9  | A4-F4 G4= D5= C5 D5 B4= A4 D5 A4-F4 E4 A4 D5= D5 D5 D5= D5= | A4+C5-F4+C5 G4+B4+D5= D5+F4+A4= C5+E4+G4 D5+F4+A4 B4+D5+F4= A4+C5+E4 D5+F4+A4 A4+C5-F4+C5 E4+G4+B4 A4+C5+E4 D5+F4+A4= D5+F4+A4 D5+F4+A4 D5+F4+A4= D5+F4+A4= | εὖθ’ οἱ σπλάγχνα πάσαντο, θεῷ δ’ἐπὶ μηρί’ ἔκαιον,            | 0.713
 10  | A4= B4= C5= A4 B4 G4= G4 E4 G4= D5 D5 E4= E4 G4 G4= E4= | A4+C5+E4= B4+D5+F4= C5+E4+G4= A4+C5+E4 B4+D5+F4 G4+B4+D5= G4+B4+D5 E4+G4+B4 G4+B4+D5= D5+F4+A4 D5+F4+A4 E4+G4+B4= E4+G4+B4 G4+B4+D5 G4+B4+D5= E4+G4+B4= | οἱ δ’ἰθὺς κατάγοντο ἰδ’ ἱστία νηὸς ἐίσης                     | 0.752
