# Lyresong Tabulature Format
# Title: Odyssey Book 13 - Lyresong A4-G4-E4-A4 for scale E4,F4,G4,A4,B4,C5,D5
# Subtitle: Odyssey Book 13 - 440/440 lines passed prosody validation
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Notes | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
#

  1  | D5= C5 C5 D5= C5 A4 B4= A4 A4 C5= G4 C5 F4= E4 G4 C5= C5-B4  | ὣς ἔφαθ’, οἱ δ’ἄρα πάντες ἀκὴν ἐγένοντο σιωπῇ,                                   | 0.755
  2  | C5= D5= B4-A4 D5= B4= D5 B4 D5= D5 B4 G4= B4 D5 B4= D5=      | κηληθμῷ δ’ἔσχοντο κατὰ μέγαρα σκιόεντα.                                          | 0.751
  3  | G4= B4-G4 A4= D5 C5 A4= D5 B4 D5= B4 D5 D5= D5= C5= E4=      | τὸν δ’αὖτ’ Ἀλκίνοος ἀπαμείβετο φώνησέν τε·                                       | 0.721
  4  | B4-A4 C5 D5 B4-A4 B4 D5 D5= B4 G4 B4= D5 F4 G4= B4 G4 E4= B4-A4 | ὦ Ὀδυσεῦ, ἐπεὶ ἵκευ ἐμὸν ποτὶ χαλκοβατὲς δῶ,                                     | 0.733
  5  | C5= D5 B4 D5= B4-A4 G4= F4 A4 C5= D5= D5= B4 D5 D5= C5=      | ὑψερεφές, τῶ σ’οὔ τι παλιμπλαγχθέντα γ’ὀΐω                                       | 0.701
  6  | G4= G4 B4 D5= D5= D5= G4= D5= C5 A4 F4= G4 D5 D5= B4=        | ἂψ ἀπονοστήσειν, εἰ καὶ μάλα πολλὰ πέπονθας.                                     | 0.736
  7  | E4= A4= C5= E4 G4 A4= F4 A4 C5= C5 B4 G4= F4 F4 E4= E4=      | ὑμέων δ’ἀνδρὶ ἑκάστῳ ἐφιέμενος τάδε εἴρω,                                        | 0.753
  8  | C5= C5 B4 A4= E4 G4 E4= E4 E4 F4= E4 E4 B4= B4 B4 C5-B4 D5=  | ὅσσοι ἐνὶ μεγάροισι γερούσιον αἴθοπα οἶνον                                       | 0.782
  9  | F4= A4= D5= C5 E4 C5-A4 A4 C5 D5= D5= D5= B4 D5 D5= B4-G4    | αἰεὶ πίνετ’ ἐμοῖσιν, ἀκουάζεσθε δ’ἀοιδοῦ.                                        | 0.710
 10  | D5= C5 A4 C5= D5= D5= C5 A4 C5= D5= B4= G4 F4 G4= B4-A4      | εἵματα μὲν δὴ ξείνῳ ἐϋξέστῃ ἐνὶ χηλῷ                                             | 0.672
