# Lyresong Tabulature Format
# Title: Odyssey Book 5 - Lyresong A4-G4-E4-A4 for scale E4,F4,G4,A4,B4,C5,D5
# Subtitle: Odyssey Book 5 - 493/493 lines passed prosody validation
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Notes | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
#

  1  | A4= A4= G4= B4 D5 A4= G4 A4 A4= D5-C5 F4= A4= B4-A4 A4=      | ἠὼς δ’ἐκ λεχέων παρ’ ἀγαυοῦ Τιθωνοῖο                                             | 0.741
  2  | D5= D5 G4 B4= G4 D5 D5= G4 D5 A4= D5 G4 A4= A4 C5 C5-A4 A4=  | ὤρνυθ’, ἵν’ ἀθανάτοισι φόως φέροι ἠδὲ βροτοῖσιν·                                 | 0.757
  3  | D5= G4 A4 D5= C5-A4 D5= B4 A4 D5= D5 D5 D5= D5 A4 A4-F4 A4=  | οἱ δὲ θεοὶ θῶκόνδε καθίζανον, ἐν δ’ἄρα τοῖσι                                     | 0.713
  4  | A4= A4= F4= A4 D5 A4= B4-A4 B4= D5 B4 B4= B4 D5 B4= G4=      | Ζεὺς ὑψιβρεμέτης, οὗ τε κράτος ἐστὶ μέγιστον.                                    | 0.684
  5  | B4-A4 B4 G4 B4= D5= B4= D5 B4 D5= C5 B4 G4= E4 G4 B4-A4 C5=  | τοῖσι δ’Ἀθηναίη λέγε κήδεα πόλλ’ Ὀδυσῆος                                         | 0.720
  6  | B4= D5 D5 B4= D5 C5 A4= F4= A4= B4= D5= B4 D5 D5= B4=        | μνησαμένη· μέλε γάρ οἱ ἐὼν ἐν δώμασι νύμφης·                                     | 0.725
  7  | B4-A4 D5 C5 D5= D5= B4= D5 B4 D5= B4 G4 E4= F4 G4 D5= C5=    | Ζεῦ πάτερ ἠδ’ ἄλλοι μάκαρες θεοὶ αἰὲν ἐόντες,                                    | 0.723
  8  | F4= G4 D5 C5= D5= A4= A4 A4 A4= A4= D5= D5 B4 D5= C5=        | μή τις ἔτι πρόφρων ἀγανὸς καὶ ἤπιος ἔστω                                         | 0.690
  9  | G4= B4-A4 A4= F4 A4 A4= B4= A4= G4 A4 D5= A4 A4 A4= A4=      | σκηπτοῦχος βασιλεύς, μηδὲ φρεσὶν αἴσιμα εἰδώς,                                   | 0.709
 10  | B4= G4= E4= B4 D5 D5= D5= C5= C5= D5= D5 D5 D5= G4=          | ἀλλ’ αἰεὶ χαλεπός τ’εἴη καὶ αἴσυλα ῥέζοι·                                        | 0.718
 11  | B4= C5= D5= D5= B4= G4 E4 G4= B4-A4 B4= D5= C5= B4=          | ὡς οὔ τις μέμνηται Ὀδυσσῆος θείοιο                                               | 0.750
 12  | C5= A4-G4 G4-F4 G4 G4 G4= F4 G4 A4= C5= B4= G4 B4 D5-C5 B4=  | λαῶν οἷσιν ἄνασσε, πατὴρ δ’ὣς ἤπιος ἦεν.                                         | 0.676
 13  | B4= B4 G4 B4= D5= D5= D5-B4 E4= A4 D5 D5= D5 C5 D5= C5=      | ἀλλ’ ὁ μὲν ἐν νήσῳ κεῖται κρατέρ’ ἄλγεα πάσχων                                   | 0.726
 14  | D5= C5= A4= C5 D5 C5= B4 B4 D5= D5-B4 G4= A4 D5 D5= D5=      | νύμφης ἐν μεγάροισι Καλυψοῦς, ἥ μιν ἀνάγκῃ                                       | 0.689
