# Lyresong Tabulature Format
# Title: Iliad Book 3 for scale E4,F4,G4,A4,B4,C5,D5
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Melody | Harmony | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
# Harmony is written as a parallel voice below the melody
#

  1  | C5= A4 C5 D5= D5= B4= G4 E4 G4= A4 D5 C5= B4 D5 C5= D5= | C5+E4+G4= A4+C5+E4 C5+E4+G4 D5+F4+A4= D5+F4+A4= B4+D5+F4= G4+B4+D5 E4+G4+B4 G4+B4+D5= A4+C5+E4 D5+F4+A4 C5+E4+G4= B4+D5+F4 D5+F4+A4 C5+E4+G4= D5+F4+A4= | Αὐτὰρ ἐπεὶ κόσμηθεν ἅμ’ ἡγεμόνεσσιν ἕκαστοι,                 | 0.738
  2  | F4-E4 F4= G4= A4= A4-G4 B4 A4 A4-G4 D5 B4 D5= C5= D5= C5= | F4+A4-E4+B4 F4+A4+C5= G4+B4+D5= A4+C5+E4= A4+C5-G4+D5 B4+D5+F4 A4+C5+E4 A4+C5-G4+D5 D5+F4+A4 B4+D5+F4 D5+F4+A4= C5+E4+G4= D5+F4+A4= C5+E4+G4= | Τρῶες μὲν κλαγγῇ τ’ἐνοπῇ τ’ἴσαν ὄρνιθες ὣς                   | 0.714
  3  | G4= D5 G4 G4= F4= G4= B4 D5 C5= D5 C5 A4= B4 D5 C5= A4= | G4+B4+D5= D5+F4+A4 G4+B4+D5 G4+B4+D5= F4+A4+C5= G4+B4+D5= B4+D5+F4 D5+F4+A4 C5+E4+G4= D5+F4+A4 C5+E4+G4 A4+C5+E4= B4+D5+F4 D5+F4+A4 C5+E4+G4= A4+C5+E4= | ἠΰτε περ κλαγγὴ γεράνων πέλει οὐρανόθι πρό·                  | 0.739
  4  | E4= F4 G4 G4-F4 G4= G4-F4 G4 D5 C5= A4 G4 D5= B4 G4 D5= C5= | E4+G4+B4= F4+A4+C5 G4+B4+D5 G4+B4-F4+C5 G4+B4+D5= G4+B4-F4+C5 G4+B4+D5 D5+F4+A4 C5+E4+G4= A4+C5+E4 G4+B4+D5 D5+F4+A4= B4+D5+F4 G4+B4+D5 D5+F4+A4= C5+E4+G4= | αἵ τ’ἐπεὶ οὖν χειμῶνα φύγον καὶ ἀθέσφατον ὄμβρον             | 0.720
  5  | B4= B4-A4 B4= D5 D5 B4= G4 F4 G4= A4 C5 B4-A4 B4 D5 D5= B4= | B4+D5+F4= B4+D5-A4+E4 B4+D5+F4= D5+F4+A4 D5+F4+A4 B4+D5+F4= G4+B4+D5 F4+A4+C5 G4+B4+D5= A4+C5+E4 C5+E4+G4 B4+D5-A4+E4 B4+D5+F4 D5+F4+A4 D5+F4+A4= B4+D5+F4= | κλαγγῇ ταί γε πέτονται ἐπ’ ὠκεανοῖο ῥοάων                    | 0.718
  6  | B4= D5 B4 D5= D5= C5= D5 D5 B4= G4= B4-A4 C5 D5 C5= B4= | B4+D5+F4= D5+F4+A4 B4+D5+F4 D5+F4+A4= D5+F4+A4= C5+E4+G4= D5+F4+A4 D5+F4+A4 B4+D5+F4= G4+B4+D5= B4+D5-A4+E4 C5+E4+G4 D5+F4+A4 C5+E4+G4= B4+D5+F4= | ἀνδράσι Πυγμαίοισι φόνον καὶ κῆρα φέρουσαι·                  | 0.670
  7  | C5= C5 F4 E4= G4 F4 G4= G4 C5 G4= G4 G4 G4= A4 A4 A4= E4= | C5+E4+G4= C5+E4+G4 F4+A4+C5 E4+G4+B4= G4+B4+D5 F4+A4+C5 G4+B4+D5= G4+B4+D5 C5+E4+G4 G4+B4+D5= G4+B4+D5 G4+B4+D5 G4+B4+D5= A4+C5+E4 A4+C5+E4 A4+C5+E4= E4+G4+B4= | ἠέριαι δ’ἄρα ταί γε κακὴν ἔριδα προφέρονται.                 | 0.754
  8  | D5= B4 B4 E4= G4= B4-A4 B4 A4 A4= C5= C5= A4 C5 A4= C5= | D5+F4+A4= B4+D5+F4 B4+D5+F4 E4+G4+B4= G4+B4+D5= B4+D5-A4+E4 B4+D5+F4 A4+C5+E4 A4+C5+E4= C5+E4+G4= C5+E4+G4= A4+C5+E4 C5+E4+G4 A4+C5+E4= C5+E4+G4= | Οἳ δ’ἄρ’ ἴσαν σιγῇ μένεα πνείοντες Ἀχαιοὶ                    | 0.704
  9  | B4= D5= B4-A4 C5 D5 B4-A4 G4 E4 B4= D5 C5 D5= D5= B4= D5= | B4+D5+F4= D5+F4+A4= B4+D5-A4+E4 C5+E4+G4 D5+F4+A4 B4+D5-A4+E4 G4+B4+D5 E4+G4+B4 B4+D5+F4= D5+F4+A4 C5+E4+G4 D5+F4+A4= D5+F4+A4= B4+D5+F4= D5+F4+A4= | ἐν θυμῷ μεμαῶτες ἀλεξέμεν ἀλλήλοισιν.                        | 0.693
 10  | D5-B4 D5 F4 A4= G4 G4 B4-G4 D5 D5 C5= B4 D5 C5= D5 D5 D5= C5= | D5+F4-B4+F4 D5+F4+A4 F4+A4+C5 A4+C5+E4= G4+B4+D5 G4+B4+D5 B4+D5-G4+D5 D5+F4+A4 D5+F4+A4 C5+E4+G4= B4+D5+F4 D5+F4+A4 C5+E4+G4= D5+F4+A4 D5+F4+A4 D5+F4+A4= C5+E4+G4= | Εὖτ’ ὄρεος κορυφῇσι Νότος κατέχευεν ὀμίχλην                  | 0.712
 11  | B4= D5 B4 G4= B4 D5 B4= D5= B4= G4 F4 A4= B4 D5 D5= B4= | B4+D5+F4= D5+F4+A4 B4+D5+F4 G4+B4+D5= B4+D5+F4 D5+F4+A4 B4+D5+F4= D5+F4+A4= B4+D5+F4= G4+B4+D5 F4+A4+C5 A4+C5+E4= B4+D5+F4 D5+F4+A4 D5+F4+A4= B4+D5+F4= | ποιμέσιν οὔ τι φίλην, κλέπτῃ δέ τε νυκτὸς ἀμείνω,            | 0.734
 12  | D5= C5= D5= A4 F4 D5= B4 D5 B4= G4 B4 B4-A4 C5 D5 B4= D5= | D5+F4+A4= C5+E4+G4= D5+F4+A4= A4+C5+E4 F4+A4+C5 D5+F4+A4= B4+D5+F4 D5+F4+A4 B4+D5+F4= G4+B4+D5 B4+D5+F4 B4+D5-A4+E4 C5+E4+G4 D5+F4+A4 B4+D5+F4= D5+F4+A4= | τόσσόν τίς τ’ἐπιλεύσσει ὅσον τ’ἐπὶ λᾶαν ἵησιν·               | 0.714
 13  | B4= D5 B4 B4-A4 F4 E4 G4= A4 G4 D5= C5 D5 D5= C5 D5 A4= B4= | B4+D5+F4= D5+F4+A4 B4+D5+F4 B4+D5-A4+E4 F4+A4+C5 E4+G4+B4 G4+B4+D5= A4+C5+E4 G4+B4+D5 D5+F4+A4= C5+E4+G4 D5+F4+A4 D5+F4+A4= C5+E4+G4 D5+F4+A4 A4+C5+E4= B4+D5+F4= | ὣς ἄρα τῶν ὑπὸ ποσσὶ κονίσαλος ὄρνυτ’ ἀελλὴς                 | 0.745
 14  | C5= D5 D5 B4= D5 B4 B4-G4 D5 D5 D5= D5= D5= F4 D5 A4= B4= | C5+E4+G4= D5+F4+A4 D5+F4+A4 B4+D5+F4= D5+F4+A4 B4+D5+F4 B4+D5-G4+D5 D5+F4+A4 D5+F4+A4 D5+F4+A4= D5+F4+A4= D5+F4+A4= F4+A4+C5 D5+F4+A4 A4+C5+E4= B4+D5+F4= | ἐρχομένων· μάλα δ’ὦκα διέπρησσον πεδίοιο.                    | 0.692
 15  | C5= D5 B4 G4= E4 G4 B4-A4 C5 A4 C5= D5= B4= A4 C5 D5= C5= | C5+E4+G4= D5+F4+A4 B4+D5+F4 G4+B4+D5= E4+G4+B4 G4+B4+D5 B4+D5-A4+E4 C5+E4+G4 A4+C5+E4 C5+E4+G4= D5+F4+A4= B4+D5+F4= A4+C5+E4 C5+E4+G4 D5+F4+A4= C5+E4+G4= | Οἳ δ’ὅτε δὴ σχεδὸν ἦσαν ἐπ’ ἀλλήλοισιν ἰόντες,               | 0.702
 16  | A4= A4= B4= G4 D5 C5= A4 B4 D5= C5= F4= G4 F4 G4= G4= | A4+C5+E4= A4+C5+E4= B4+D5+F4= G4+B4+D5 D5+F4+A4 C5+E4+G4= A4+C5+E4 B4+D5+F4 D5+F4+A4= C5+E4+G4= F4+A4+C5= G4+B4+D5 F4+A4+C5 G4+B4+D5= G4+B4+D5= | Τρωσὶν μὲν προμάχιζεν Ἀλέξανδρος θεοειδὴς                    | 0.706
 17  | A4= C5 D5 G4= D5= D5= B4 D5 D5= D5= B4= D5 C5 D5= D5= | A4+C5+E4= C5+E4+G4 D5+F4+A4 G4+B4+D5= D5+F4+A4= D5+F4+A4= B4+D5+F4 D5+F4+A4 D5+F4+A4= D5+F4+A4= B4+D5+F4= D5+F4+A4 C5+E4+G4 D5+F4+A4= D5+F4+A4= | παρδαλέην ὤμοισιν ἔχων καὶ καμπύλα τόξα                      | 0.677
 18  | A4= D5 A4 C5= C5= A4-F4 A4 D5 B4= E4 E4 E4= D5 G4 C5= D5-B4 | A4+C5+E4= D5+F4+A4 A4+C5+E4 C5+E4+G4= C5+E4+G4= A4+C5-F4+C5 A4+C5+E4 D5+F4+A4 B4+D5+F4= E4+G4+B4 E4+G4+B4 E4+G4+B4= D5+F4+A4 G4+B4+D5 C5+E4+G4= D5+F4-B4+F4 | καὶ ξίφος· αὐτὰρ δοῦρε δύω κεκορυθμένα χαλκῷ                 | 0.699
 19  | F4= F4= F4= G4= G4= E4 A4 C5= G4 G4 G4= F4 G4 D5= C5= | F4+A4+C5= F4+A4+C5= F4+A4+C5= G4+B4+D5= G4+B4+D5= E4+G4+B4 A4+C5+E4 C5+E4+G4= G4+B4+D5 G4+B4+D5 G4+B4+D5= F4+A4+C5 G4+B4+D5 D5+F4+A4= C5+E4+G4= | πάλλων Ἀργείων προκαλίζετο πάντας ἀρίστους                   | 0.744
 20  | B4= D5 C5 A4= D5 D5 D5= D5 D5 D5= B4-G4 G4= A4 B4 A4-F4 C5= | B4+D5+F4= D5+F4+A4 C5+E4+G4 A4+C5+E4= D5+F4+A4 D5+F4+A4 D5+F4+A4= D5+F4+A4 D5+F4+A4 D5+F4+A4= B4+D5-G4+D5 G4+B4+D5= A4+C5+E4 B4+D5+F4 A4+C5-F4+C5 C5+E4+G4= | ἀντίβιον μαχέσασθαι ἐν αἰνῇ δηϊοτῆτι.                        | 0.733
 21  | B4= D5= B4-A4 C5 D5 B4= G4 E4 A4= D5 C5 A4= C5 D5 C5= D5= | B4+D5+F4= D5+F4+A4= B4+D5-A4+E4 C5+E4+G4 D5+F4+A4 B4+D5+F4= G4+B4+D5 E4+G4+B4 A4+C5+E4= D5+F4+A4 C5+E4+G4 A4+C5+E4= C5+E4+G4 D5+F4+A4 C5+E4+G4= D5+F4+A4= | Τὸν δ’ὡς οὖν ἐνόησεν ἀρηΐφιλος Μενέλαος                      | 0.752
 22  | A4= D5 A4 F4= A4 D5 D5= B4 B4 D5= G4= G4= E4 G4 D5= C5= | A4+C5+E4= D5+F4+A4 A4+C5+E4 F4+A4+C5= A4+C5+E4 D5+F4+A4 D5+F4+A4= B4+D5+F4 B4+D5+F4 D5+F4+A4= G4+B4+D5= G4+B4+D5= E4+G4+B4 G4+B4+D5 D5+F4+A4= C5+E4+G4= | ἐρχόμενον προπάροιθεν ὁμίλου μακρὰ βιβάντα,                  | 0.732
