# Lyresong Tabulature Format
# Title: Iliad Book 24 for scale E4,F4,G4,A4,B4,C5,D5
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Melody | Harmony | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
# Harmony is written as a parallel voice below the melody
#

  1  | C5-B4 A4 A4 A4= A4= F4= A4 F4 A4= F4 G4 B4-A4 B4 D5 G4= A4= | C5+E4-B4+F4 A4+C5+E4 A4+C5+E4 A4+C5+E4= A4+C5+E4= F4+A4+C5= A4+C5+E4 F4+A4+C5 A4+C5+E4= F4+A4+C5 G4+B4+D5 B4+D5-A4+E4 B4+D5+F4 D5+F4+A4 G4+B4+D5= A4+C5+E4= | λῦτο δ’ἀγών, λαοὶ δὲ θοὰς ἐπὶ νῆας ἕκαστοι                   | 0.703
  2  | A4= D5= D5= D5 D5 G4= B4= A4= D5= D5= D5 D5 D5= A4= | A4+C5+E4= D5+F4+A4= D5+F4+A4= D5+F4+A4 D5+F4+A4 G4+B4+D5= B4+D5+F4= A4+C5+E4= D5+F4+A4= D5+F4+A4= D5+F4+A4 D5+F4+A4 D5+F4+A4= A4+C5+E4= | ἐσκίδναντ’ ἰέναι. τοὶ μὲν δόρποιο μέδοντο                    | 0.710
  3  | D5= G4= C5= C5 C5 A4-F4 B4= D5= D5 G4 G4= G4 G4 B4= D5= | D5+F4+A4= G4+B4+D5= C5+E4+G4= C5+E4+G4 C5+E4+G4 A4+C5-F4+C5 B4+D5+F4= D5+F4+A4= D5+F4+A4 G4+B4+D5 G4+B4+D5= G4+B4+D5 G4+B4+D5 B4+D5+F4= D5+F4+A4= | ὕπνου τε γλυκεροῦ ταρπήμεναι· αὐτὰρ Ἀχιλλεὺς                 | 0.705
  4  | A4-F4 C5 D5 B4= B4 D5 C5= C5= B4= D5 G4 B4= D5 B4 D5= F4= | A4+C5-F4+C5 C5+E4+G4 D5+F4+A4 B4+D5+F4= B4+D5+F4 D5+F4+A4 C5+E4+G4= C5+E4+G4= B4+D5+F4= D5+F4+A4 G4+B4+D5 B4+D5+F4= D5+F4+A4 B4+D5+F4 D5+F4+A4= F4+A4+C5= | κλαῖε φίλου ἑτάρου μεμνημένος, οὐδέ μιν ὕπνος                | 0.695
  5  | A4= F4= A4= A4 A4 A4= D5= G4= B4 G4 B4= B4 C5 C5= A4= | A4+C5+E4= F4+A4+C5= A4+C5+E4= A4+C5+E4 A4+C5+E4 A4+C5+E4= D5+F4+A4= G4+B4+D5= B4+D5+F4 G4+B4+D5 B4+D5+F4= B4+D5+F4 C5+E4+G4 C5+E4+G4= A4+C5+E4= | ᾕρει πανδαμάτωρ, ἀλλ’ ἐστρέφετ’ ἔνθα καὶ ἔνθα                | 0.724
  6  | E4= B4= A4= G4 A4 G4= A4 C5 A4-G4 D5 D5 C5= D5 D5 G4= G4= | E4+G4+B4= B4+D5+F4= A4+C5+E4= G4+B4+D5 A4+C5+E4 G4+B4+D5= A4+C5+E4 C5+E4+G4 A4+C5-G4+D5 D5+F4+A4 D5+F4+A4 C5+E4+G4= D5+F4+A4 D5+F4+A4 G4+B4+D5= G4+B4+D5= | Πατρόκλου ποθέων ἀνδροτῆτά τε καὶ μένος ἠΰ,                  | 0.700
  7  | C5= D5 D5 B4= G4 D5 B4= G4 E4 G4= B4-A4 B4= D5 B4 D5= C5= | C5+E4+G4= D5+F4+A4 D5+F4+A4 B4+D5+F4= G4+B4+D5 D5+F4+A4 B4+D5+F4= G4+B4+D5 E4+G4+B4 G4+B4+D5= B4+D5-A4+E4 B4+D5+F4= D5+F4+A4 B4+D5+F4 D5+F4+A4= C5+E4+G4= | ἠδ’ ὁπόσα τολύπευσε σὺν αὐτῷ καὶ πάθεν ἄλγεα                 | 0.730
  8  | G4= B4-A4 B4= G4 G4 F4= B4 G4 B4= B4 D5 C5= A4 B4 B4= B4= | G4+B4+D5= B4+D5-A4+E4 B4+D5+F4= G4+B4+D5 G4+B4+D5 F4+A4+C5= B4+D5+F4 G4+B4+D5 B4+D5+F4= B4+D5+F4 D5+F4+A4 C5+E4+G4= A4+C5+E4 B4+D5+F4 B4+D5+F4= B4+D5+F4= | ἀνδρῶν τε πτολέμους ἀλεγεινά τε κύματα πείρων·               | 0.770
  9  | C5-A4 A4= C5= D5 D5 D5= C5 D5 D5= C5 G4 D5= B4 G4 A4-F4 C5= | C5+E4-A4+E4 A4+C5+E4= C5+E4+G4= D5+F4+A4 D5+F4+A4 D5+F4+A4= C5+E4+G4 D5+F4+A4 D5+F4+A4= C5+E4+G4 G4+B4+D5 D5+F4+A4= B4+D5+F4 G4+B4+D5 A4+C5-F4+C5 C5+E4+G4= | τῶν μιμνησκόμενος θαλερὸν κατὰ δάκρυον εἶβεν,                | 0.743
 10  | D5= B4 A4 F4= E4= G4= A4 C5 D5= B4 D5 D5= B4 G4 B4-A4 G4= | D5+F4+A4= B4+D5+F4 A4+C5+E4 F4+A4+C5= E4+G4+B4= G4+B4+D5= A4+C5+E4 C5+E4+G4 D5+F4+A4= B4+D5+F4 D5+F4+A4 D5+F4+A4= B4+D5+F4 G4+B4+D5 B4+D5-A4+E4 G4+B4+D5= | ἄλλοτ’ ἐπὶ πλευρὰς κατακείμενος, ἄλλοτε δ’αὖτε               | 0.724
