# Lyresong Tabulature Format
# Title: Odyssey Book 9 - Lyresong A4-G4-E4-A4 for scale E4,F4,G4,A4,B4,C5,D5
# Subtitle: Odyssey Book 9 - 566/566 lines passed prosody validation
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Notes | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
#

  1  | A4= G4 G4 G4= G4 G4 E4= C5 C5 C5= C5 D5 D5= E4 B4 D5= D5=    | τὸν δ’ἀπαμειβόμενος προσέφη πολύμητις Ὀδυσσεύς·                                  | 0.783
  2  | G4= D5 D5 G4= A4-F4 B4= D5= G4= D5 D5 D5= D5 D5 C5= D5-B4    | Ἀλκίνοε κρεῖον, πάντων ἀριδείκετε λαῶν,                                          | 0.698
  3  | B4= B4= G4= D5 A4 C5= A4 A4 E4= A4 F4 A4= G4 A4 A4= D5-C5    | ἤτοι μὲν τόδε καλὸν ἀκουέμεν ἐστὶν ἀοιδοῦ                                        | 0.754
  4  | G4= G4-F4 F4-E4 G4 A4 G4= B4 A4 A4-G4 F4 G4 D5= C5 D5 C5= D5= | τοιοῦδ’ οἷος ὅδ’ ἐστί, θεοῖς ἐναλίγκιος αὐδήν.                                   | 0.702
  5  | C5= B4 D5 B4= E4 E4 E4= G4 B4 A4= A4 C5 C5= G4 B4 C5-B4 D5=  | οὐ γὰρ ἔγωγέ τί φημι τέλος χαριέστερον εἶναι                                     | 0.756
  6  | F4= G4 F4 A4= G4 D5 D5= B4 D5 D5= D5 G4 C5-A4 B4 D5 C5= E4=  | ἢ ὅτ’ ἐϋφροσύνη μὲν ἔχῃ κάτα δῆμον ἅπαντα,                                       | 0.750
  7  | E4= B4 D5 C5= D5 C5 D5= C5 D5 C5= D5= G4= G4 A4 G4= G4-F4    | δαιτυμόνες δ’ἀνὰ δώματ’ ἀκουάζωνται ἀοιδοῦ                                       | 0.723
  8  | D5= B4 C5 D5= D5= C5= A4 F4 A4= D5= B4= C5 D5 B4= G4=        | ἥμενοι ἑξείης, παρὰ δὲ πλήθωσι τράπεζαι                                          | 0.679
  9  | D5= D5= D5= G4= D5-B4 D5 G4 A4= A4= D5-B4 D5 C5 D5= F4=      | σίτου καὶ κρειῶν, μέθυ δ’ἐκ κρητῆρος ἀφύσσων                                     | 0.714
 10  | E4= F4 C5 C5= F4 A4 G4= G4 G4 B4= C5= A4= F4 C5 A4= F4=      | οἰνοχόος φορέῃσι καὶ ἐγχείῃ δεπάεσσι·                                            | 0.733
